run_id,split,model,feature_set,selected_configuration,validation_roc_auc,validation_avg_precision,tuning_train_rows,validation_rows,validation_source,training_rows,training_device,epochs_trained
run_20260806T154718Z,random,LightGBM,borrower_only,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""min_child_samples"": 80.0, ""n_estimators"": 500.0, ""num_leaves"": 31.0, ""subsample"": 0.9}",0.5834454775576894,0.2485041204423858,20000,80000,fixed_pipeline_validation_set,320000,CPU,
run_20260806T154718Z,random,Explainable Boosting Machine,borrower_only,"{""interactions"": 10.0, ""learning_rate"": 0.01, ""max_rounds"": 2500.0, ""outer_bags"": 4.0}",0.5945088951846038,0.2572683224025347,12000,80000,fixed_pipeline_validation_set,320000,CPU,
run_20260806T154718Z,random,LightGBM,financial_only,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""min_child_samples"": 80.0, ""n_estimators"": 500.0, ""num_leaves"": 31.0, ""subsample"": 0.9}",0.7025831952947571,0.3688498319956252,20000,80000,fixed_pipeline_validation_set,320000,CPU,
run_20260806T154718Z,random,Explainable Boosting Machine,financial_only,"{""interactions"": 0.0, ""learning_rate"": 0.015, ""max_rounds"": 1500.0, ""outer_bags"": 4.0}",0.7117419006937765,0.3778452565340947,12000,80000,fixed_pipeline_validation_set,320000,CPU,
run_20260806T154718Z,random,LightGBM,grade_only,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.05, ""min_child_samples"": 50.0, ""n_estimators"": 300.0, ""num_leaves"": 31.0, ""subsample"": 0.85}",0.6816947520535135,0.3131396571410514,20000,80000,fixed_pipeline_validation_set,320000,CPU,
run_20260806T154718Z,random,Explainable Boosting Machine,grade_only,"{""interactions"": 0.0, ""learning_rate"": 0.015, ""max_rounds"": 1500.0, ""outer_bags"": 4.0}",0.6816947520535135,0.3131396571410514,12000,80000,fixed_pipeline_validation_set,320000,CPU,
run_20260806T154718Z,random,LightGBM,borrower_financial,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""min_child_samples"": 80.0, ""n_estimators"": 500.0, ""num_leaves"": 31.0, ""subsample"": 0.9}",0.7082956965508285,0.3765699649235719,20000,80000,fixed_pipeline_validation_set,320000,CPU,
run_20260806T154718Z,random,Explainable Boosting Machine,borrower_financial,"{""interactions"": 0.0, ""learning_rate"": 0.015, ""max_rounds"": 1500.0, ""outer_bags"": 4.0}",0.7118756080173675,0.3783315879245736,12000,80000,fixed_pipeline_validation_set,320000,CPU,
run_20260806T154718Z,random,XGBoost,combined,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 3.0, ""n_estimators"": 220.0, ""subsample"": 0.9}",0.71461252959876,0.3826030706568484,20000,80000,fixed_pipeline_validation_set,320000,CPU,
run_20260806T154718Z,random,LightGBM,combined,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.05, ""min_child_samples"": 50.0, ""n_estimators"": 300.0, ""num_leaves"": 31.0, ""subsample"": 0.85}",0.7084242410634961,0.3758768031763328,20000,80000,fixed_pipeline_validation_set,320000,CPU,
run_20260806T154718Z,random,CatBoost,combined,"{""depth"": 4.0, ""iterations"": 300.0, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",0.716720583087846,0.3849349576059272,20000,80000,fixed_pipeline_validation_set,320000,CPU,
run_20260806T154718Z,random,Explainable Boosting Machine,combined,"{""interactions"": 0.0, ""learning_rate"": 0.015, ""max_rounds"": 1500.0, ""outer_bags"": 4.0}",0.7134110238815187,0.3796057816483871,12000,80000,fixed_pipeline_validation_set,320000,CPU,
run_20260806T154718Z,random,Random Forest,combined,"{""max_depth"": 18.0, ""max_features"": ""log2"", ""min_samples_leaf"": 20.0, ""n_estimators"": 250.0}",0.7132477332506644,0.3766227889249722,20000,80000,fixed_pipeline_validation_set,320000,CPU,
run_20260806T154718Z,random,MLP Neural Network,combined,"{""batch_size"": 256.0, ""dropout"": 0.15, ""hidden_layer_sizes"": [128, 64], ""lr"": 0.0005, ""weight_decay"": 0.0001}",0.7107988804918968,0.3771204583051165,12000,80000,fixed_pipeline_validation_set,320000,NVIDIA GeForce RTX 5060 Laptop GPU,14.0
run_20260806T154718Z,random,FT-Transformer,combined,"{""batch_size"": 512.0, ""d_token"": 32.0, ""dropout"": 0.1, ""lr"": 0.001, ""n_heads"": 4.0, ""n_layers"": 2.0, ""weight_decay"": 0.0001}",0.7119733999433342,0.3725443955840415,12000,80000,fixed_pipeline_validation_set,320000,NVIDIA GeForce RTX 5060 Laptop GPU,12.0
run_20260806T154718Z,temporal,LightGBM,borrower_only,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""min_child_samples"": 80.0, ""n_estimators"": 500.0, ""num_leaves"": 31.0, ""subsample"": 0.9}",0.577635498173739,0.2799920069810748,20000,83757,fixed_pipeline_validation_set,318136,CPU,
run_20260806T154718Z,temporal,Explainable Boosting Machine,borrower_only,"{""interactions"": 0.0, ""learning_rate"": 0.015, ""max_rounds"": 1500.0, ""outer_bags"": 4.0}",0.5909287364958665,0.2948829136399555,12000,83757,fixed_pipeline_validation_set,318136,CPU,
run_20260806T154718Z,temporal,LightGBM,financial_only,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""min_child_samples"": 80.0, ""n_estimators"": 500.0, ""num_leaves"": 31.0, ""subsample"": 0.9}",0.701084577561508,0.4128334438940879,20000,83757,fixed_pipeline_validation_set,318136,CPU,
run_20260806T154718Z,temporal,Explainable Boosting Machine,financial_only,"{""interactions"": 10.0, ""learning_rate"": 0.01, ""max_rounds"": 2500.0, ""outer_bags"": 4.0}",0.7065542024211979,0.4172022712430402,12000,83757,fixed_pipeline_validation_set,318136,CPU,
run_20260806T154718Z,temporal,LightGBM,grade_only,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.05, ""min_child_samples"": 50.0, ""n_estimators"": 300.0, ""num_leaves"": 31.0, ""subsample"": 0.85}",0.6800779704215751,0.3605302548003736,20000,83757,fixed_pipeline_validation_set,318136,CPU,
run_20260806T154718Z,temporal,Explainable Boosting Machine,grade_only,"{""interactions"": 0.0, ""learning_rate"": 0.015, ""max_rounds"": 1500.0, ""outer_bags"": 4.0}",0.6800779704215751,0.3605302548003736,12000,83757,fixed_pipeline_validation_set,318136,CPU,
run_20260806T154718Z,temporal,LightGBM,borrower_financial,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""min_child_samples"": 80.0, ""n_estimators"": 500.0, ""num_leaves"": 31.0, ""subsample"": 0.9}",0.7064104626252299,0.4202755146066065,20000,83757,fixed_pipeline_validation_set,318136,CPU,
run_20260806T154718Z,temporal,Explainable Boosting Machine,borrower_financial,"{""interactions"": 10.0, ""learning_rate"": 0.01, ""max_rounds"": 2500.0, ""outer_bags"": 4.0}",0.7092954215965598,0.4221556974590278,12000,83757,fixed_pipeline_validation_set,318136,CPU,
run_20260806T154718Z,temporal,XGBoost,combined,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.05, ""max_depth"": 4.0, ""n_estimators"": 160.0, ""subsample"": 0.85}",0.7125413443153632,0.4273150825841688,20000,83757,fixed_pipeline_validation_set,318136,CPU,
run_20260806T154718Z,temporal,LightGBM,combined,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""min_child_samples"": 80.0, ""n_estimators"": 500.0, ""num_leaves"": 31.0, ""subsample"": 0.9}",0.7053104908195031,0.4200202853899816,20000,83757,fixed_pipeline_validation_set,318136,CPU,
run_20260806T154718Z,temporal,CatBoost,combined,"{""depth"": 4.0, ""iterations"": 300.0, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",0.7144248487048294,0.430409802645008,20000,83757,fixed_pipeline_validation_set,318136,CPU,
run_20260806T154718Z,temporal,Explainable Boosting Machine,combined,"{""interactions"": 10.0, ""learning_rate"": 0.01, ""max_rounds"": 2500.0, ""outer_bags"": 4.0}",0.709324549502172,0.4220728302886609,12000,83757,fixed_pipeline_validation_set,318136,CPU,
run_20260806T154718Z,temporal,Random Forest,combined,"{""max_depth"": 18.0, ""max_features"": ""log2"", ""min_samples_leaf"": 20.0, ""n_estimators"": 250.0}",0.7117169069124305,0.4243636304445631,20000,83757,fixed_pipeline_validation_set,318136,CPU,
run_20260806T154718Z,temporal,MLP Neural Network,combined,"{""batch_size"": 256.0, ""dropout"": 0.15, ""hidden_layer_sizes"": [128, 64], ""lr"": 0.0005, ""weight_decay"": 0.0001}",0.712492367020575,0.4258293743463776,12000,83757,fixed_pipeline_validation_set,318136,NVIDIA GeForce RTX 5060 Laptop GPU,15.0
run_20260806T154718Z,temporal,FT-Transformer,combined,"{""batch_size"": 512.0, ""d_token"": 32.0, ""dropout"": 0.1, ""lr"": 0.001, ""n_heads"": 4.0, ""n_layers"": 2.0, ""weight_decay"": 0.0001}",0.7125840071192362,0.4235913862805491,12000,83757,fixed_pipeline_validation_set,318136,NVIDIA GeForce RTX 5060 Laptop GPU,12.0
