feature,coefficient,abs_coefficient,coefficient_source,coefficient_training_rows,prediction_estimator
const,-1.3082539633955417,1.3082539633955417,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
grade_G,0.48403587713743723,0.48403587713743723,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
grade_F,0.4807552423881647,0.4807552423881647,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
grade_E,0.47420346137810043,0.47420346137810043,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
grade_D,0.4049360631205776,0.4049360631205776,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
grade_C,0.31385734300604873,0.31385734300604873,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
purpose_small_business,0.25302670370009106,0.25302670370009106,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
purpose_educational,0.25075501718960247,0.25075501718960247,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
term_months,0.23152429478104722,0.23152429478104722,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
addr_state_NH,-0.19825645247128001,0.19825645247128001,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
addr_state_OR,-0.19099915648886676,0.19099915648886676,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
home_ownership_OTHER,0.18402903946245805,0.18402903946245805,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
purpose_wedding,-0.1830775893537351,0.1830775893537351,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
addr_state_VT,-0.18052161980737463,0.18052161980737463,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
grade_B,0.1696385018893818,0.1696385018893818,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
addr_state_WV,-0.167610141409474,0.167610141409474,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
addr_state_NE,0.16129431400666921,0.16129431400666921,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
addr_state_CO,-0.15843749598258608,0.15843749598258608,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
addr_state_DC,-0.1564203982944452,0.1564203982944452,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
addr_state_OK,0.1550855703305181,0.1550855703305181,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
addr_state_SC,-0.1543294137090044,0.1543294137090044,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
addr_state_KS,-0.15326117808215767,0.15326117808215767,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
installment,0.15201275072545528,0.15201275072545528,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
addr_state_MS,0.14481869255044116,0.14481869255044116,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
addr_state_WA,-0.14291335971026514,0.14291335971026514,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
addr_state_WY,-0.12179541711686098,0.12179541711686098,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
acc_open_past_24mths,0.11913107236238571,0.11913107236238571,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
purpose_renewable_energy,0.10317774263810199,0.10317774263810199,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
home_ownership_RENT,0.09864167232538122,0.09864167232538122,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
dti,0.09696898123238187,0.09696898123238187,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
addr_state_AL,0.09458769864864854,0.09458769864864854,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
purpose_medical,0.09320787906660011,0.09320787906660011,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
addr_state_AR,0.0928701168980382,0.0928701168980382,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
loan_amnt,-0.08376282313873348,0.08376282313873348,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
addr_state_GA,-0.08169077623460204,0.08169077623460204,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
addr_state_WI,-0.077201076846885,0.077201076846885,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
fico_score,-0.07501726845515919,0.07501726845515919,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
addr_state_ME,-0.07075661760045389,0.07075661760045389,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
addr_state_LA,0.06572017994732063,0.06572017994732063,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
total_il_high_credit_limit,-0.06459793304297949,0.06459793304297949,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
addr_state_HI,-0.06377099539308695,0.06377099539308695,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
